Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Liam Murphy,liam.murphy@email.com,liam.murphy,,,,University of Miami,History,"Timeline creation, group presentations",Historian,,6 miles,Online,"University,Degree,Meet-up Distance,Meet-up Mode",2,90,20,3,100,22,0,0,0,1,70,16,2,90,20,3,100,22,3,100,22,,,450,,Jonas Vogel ↔ Liam Murphy,,,,,,
Liam O'Connor,liam.oconnor@email.com,liam.oconnor,,,,Georgia Institute of Technology,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Liam O'Connor ↔ Lina Svensson,Liam O'Connor ↔ Linh Tran,Liam O'Connor ↔ Lucas Meyer,Liam O'Connor ↔ Maria Rodriguez,Liam O'Connor ↔ Mateo Silva,Liam O'Connor ↔ Mateusz Zielinski,Liam O'Connor ↔ Mei Chen,Liam O'Connor ↔ Nadia Benali,Liam O'Connor ↔ Olivia Wilson,Liam O'Connor ↔ Omar Farouk,Liam O'Connor ↔ Pedro Alvarez,Liam O'Connor ↔ Samantha Evans,Liam O'Connor ↔ Samuel Mensah,Liam O'Connor ↔ Santiago Lopez,Liam O'Connor ↔ Sibel Yilmaz,Liam O'Connor ↔ Sofia Garcia,Liam O'Connor ↔ Sofia Petrova,Liam O'Connor ↔ Tariq Aziz,Liam O'Connor ↔ Tomasz Nowak,Liam O'Connor ↔ Victoria Smith,Liam O'Connor ↔ Wei Zhang,Liam O'Connor ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Liam O'Connor,Ahmed El-Sayed ↔ Liam O'Connor,Ahmed Hassan ↔ Liam O'Connor,Alexei Ivanov ↔ Liam O'Connor,Anna Müller ↔ Liam O'Connor,Ava Williams ↔ Liam O'Connor,Aya Nakamura ↔ Liam O'Connor,Emily Brown ↔ Liam O'Connor,Ethan Johnson ↔ Liam O'Connor,Fatima Al-Farsi ↔ Liam O'Connor,Hana Kimura ↔ Liam O'Connor,Helena Costa ↔ Liam O'Connor,Ivan Horvat ↔ Liam O'Connor,Jacob Green ↔ Liam O'Connor,Kevin Nguyen ↔ Liam O'Connor,Leah Stein ↔ Liam O'Connor",,,,"Aya Nakamura ↔ Liam O'Connor,Liam O'Connor ↔ Mateo Silva,Ahmed El-Sayed ↔ Liam O'Connor","Liam O'Connor ↔ Dariusz Kowalski ↔ Mateo Silva,Liam O'Connor ↔ Alexei Ivanov ↔ Dariusz Kowalski,Liam O'Connor ↔ Dariusz Kowalski ↔ Yuki Tanaka",
Liam Smith,liam.smith@email.com,liam.smith,,,,University of Illinois Urbana–Champaign,Physics,"Prefers visual aids, group study",Astrophysicist,Quantum mechanics,5 miles,Online,"University,Degree,Learning Habits",3,100,18,2,90,16,1,70,13,2,90,16,3,100,18,3,100,18,3,100,18,Visual,,550,,,,,,,,
Liam Wagner,liam.wagner@email.com,liam.wagner,,,,Stanford University,Sociology,"Surveys, group interviews",Social researcher,Struggles with data analysis,10 miles,Hybrid,"Degree,Career Trajectories,Meet-up Distance",3,100,22,0,0,0,3,100,22,2,90,20,3,100,22,1,70,15,1,70,15,2,,460,,,,,,,,
Lily Young,lily.young@email.com,lily.young,,,,Carnegie Mellon University,Biology,"Lab research, field studies",Geneticist,,11 miles,Hybrid,"Degree,Learning Habits,Struggling Concepts",0,0,0,3,100,22,2,90,20,3,100,22,1,70,16,2,90,20,2,90,20,,,450,,,,,,,,
Lina Müller,lina.muller@email.com,lina.muller,,,,University of Miami,Psychology,"Case studies, group analysis",Clinical psychologist,Behavioral therapy,9 miles,Online,"Learning Habits,Struggling Concepts,Career Trajectories",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Reading/Writing,,540,,,,,,,,
Lina Svensson,lina.svensson@email.com,lina.svensson,,,,California Institute of Technology (Caltech),Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Lina Svensson ↔ Linh Tran,Lina Svensson ↔ Lucas Meyer,Lina Svensson ↔ Maria Rodriguez,Lina Svensson ↔ Mateo Silva,Lina Svensson ↔ Mateusz Zielinski,Lina Svensson ↔ Mei Chen,Lina Svensson ↔ Nadia Benali,Lina Svensson ↔ Olivia Wilson,Lina Svensson ↔ Omar Farouk,Lina Svensson ↔ Pedro Alvarez,Lina Svensson ↔ Samantha Evans,Lina Svensson ↔ Samuel Mensah,Lina Svensson ↔ Santiago Lopez,Lina Svensson ↔ Sibel Yilmaz,Lina Svensson ↔ Sofia Garcia,Lina Svensson ↔ Sofia Petrova,Lina Svensson ↔ Tariq Aziz,Lina Svensson ↔ Tomasz Nowak,Lina Svensson ↔ Victoria Smith,Lina Svensson ↔ Wei Zhang,Lina Svensson ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Lina Svensson,Ahmed El-Sayed ↔ Lina Svensson,Ahmed Hassan ↔ Lina Svensson,Alexei Ivanov ↔ Lina Svensson,Anna Müller ↔ Lina Svensson,Ava Williams ↔ Lina Svensson,Aya Nakamura ↔ Lina Svensson,Dariusz Kowalski ↔ Lina Svensson,Diego Torres ↔ Lina Svensson,Emily Brown ↔ Lina Svensson,Ethan Johnson ↔ Lina Svensson,Hana Kimura ↔ Lina Svensson,Helena Costa ↔ Lina Svensson,Jacob Green ↔ Lina Svensson,Kevin Nguyen ↔ Lina Svensson,Leah Stein ↔ Lina Svensson,Liam O'Connor ↔ Lina Svensson",,,,"Fatima Al-Farsi ↔ Lina Svensson,Leah Stein ↔ Lina Svensson,Lina Svensson ↔ Omar Farouk,Ivan Horvat ↔ Lina Svensson,Lina Svensson ↔ Sofia Petrova,Lina Svensson ↔ Nadia Benali,Ahmed El-Sayed ↔ Lina Svensson,Ahmed Hassan ↔ Lina Svensson,Lina Svensson ↔ Tomasz Nowak","Lina Svensson ↔ Fatima Al-Farsi ↔ Ivan Horvat,Lina Svensson ↔ Fatima Al-Farsi ↔ Leah Stein,Lina Svensson ↔ Ahmed Hassan ↔ Ivan Horvat",
Linh Nguyen,linh.nguyen@email.com,linh.nguyen,,,,University of Illinois Urbana–Champaign,Chemistry,"Lab experiments, peer review",Pharmacologist,Organic synthesis,11 miles,Hybrid,"University,Struggling Concepts,Meet-up Distance,Meet-up Mode",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,1,70,13,1,70,13,Kinesthetic,,520,,,,,,,,
Linh Tran,linh.tran@email.com,linh.tran,,,,"University of California, San Diego",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Linh Tran ↔ Lucas Meyer,Linh Tran ↔ Maria Rodriguez,Linh Tran ↔ Mateo Silva,Linh Tran ↔ Mateusz Zielinski,Linh Tran ↔ Mei Chen,Linh Tran ↔ Nadia Benali,Linh Tran ↔ Olivia Wilson,Linh Tran ↔ Omar Farouk,Linh Tran ↔ Pedro Alvarez,Linh Tran ↔ Samantha Evans,Linh Tran ↔ Samuel Mensah,Linh Tran ↔ Santiago Lopez,Linh Tran ↔ Sibel Yilmaz,Linh Tran ↔ Sofia Garcia,Linh Tran ↔ Sofia Petrova,Linh Tran ↔ Tariq Aziz,Linh Tran ↔ Tomasz Nowak,Linh Tran ↔ Victoria Smith,Linh Tran ↔ Wei Zhang,Linh Tran ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Linh Tran,Ahmed El-Sayed ↔ Linh Tran,Ahmed Hassan ↔ Linh Tran,Alexei Ivanov ↔ Linh Tran,Anna Müller ↔ Linh Tran,Ava Williams ↔ Linh Tran,Aya Nakamura ↔ Linh Tran,Dariusz Kowalski ↔ Linh Tran,Diego Torres ↔ Linh Tran,Emily Brown ↔ Linh Tran,Fatima Al-Farsi ↔ Linh Tran,Hana Kimura ↔ Linh Tran,Helena Costa ↔ Linh Tran,Ivan Horvat ↔ Linh Tran,Jacob Green ↔ Linh Tran,Kevin Nguyen ↔ Linh Tran,Leah Stein ↔ Linh Tran,Liam O'Connor ↔ Linh Tran,Lina Svensson ↔ Linh Tran",,,,"Linh Tran ↔ Omar Farouk,Linh Tran ↔ Pedro Alvarez,Kevin Nguyen ↔ Linh Tran,Linh Tran ↔ Samantha Evans","Linh Tran ↔ Ethan Johnson ↔ Lucas Meyer,Linh Tran ↔ Ethan Johnson ↔ Tariq Aziz,Linh Tran ↔ Ethan Johnson ↔ Sofia Petrova",
Lisa Hartmann,lisa.hartmann@email.com,lisa.hartmann,,,,Carnegie Mellon University,Philosophy,"Debate team, essay writing",Professor,,5 miles,In Person,"University,Career Trajectories,Meet-up Distance,Meet-up Mode",3,100,22,1,70,16,2,90,20,0,0,0,3,100,22,2,90,20,2,90,20,Reading/Writing,,450,,,,,,,,
Logan Hill,logan.hill@email.com,logan.hill,,,,Purdue University,History,"Archival research, presentations",Archivist,,10 miles,In Person,"Degree,Meet-up Distance",0,0,0,3,100,22,2,90,20,1,70,16,2,90,20,3,100,22,3,100,22,,,450,,,,,,,,
Luca Bianchi,luca.bianchi@email.com,luca.bianchi,,,,Massachusetts Institute of Technology (MIT),Engineering,"Lab work, group projects",Civil engineer,Structural mechanics,12 miles,Online,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Visual,,540,,,,,,,,
Luca Romano,luca.romano@email.com,luca.romano,,,,Massachusetts Institute of Technology (MIT),Engineering,"Lab work, group projects",Civil engineer,Structural mechanics,12 miles,In Person,"Degree,Learning Habits,Struggling Concepts",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Visual,,540,,,,,,,,
Lucas Dupont,lucas.dupont@email.com,lucas.dupont,,,,Massachusetts Institute of Technology (MIT),Engineering,"Lab work, group projects",Aerospace engineer,Aerodynamics,13 miles,In Person,"University,Struggling Concepts,Meet-up Distance",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,1,70,13,1,70,13,Kinesthetic,,520,,,,,,,,
Lucas Evans,lucas.evans@email.com,lucas.evans,,,,Cornell University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Lucas Evans ↔ Mariam Habib,Lucas Evans ↔ Maya Cohen,Lucas Evans ↔ Maya Sharma,Lucas Evans ↔ Mikhail Orlov,Lucas Evans ↔ Mina Hassan,Lucas Evans ↔ Mustafa Demir,Lucas Evans ↔ Noah Weber,Lucas Evans ↔ Oluwaseun Adeyemi,Lucas Evans ↔ Priya Patel,Lucas Evans ↔ Rashid Khan,Lucas Evans ↔ Ravi Kumar,Lucas Evans ↔ Samuel Lee,Lucas Evans ↔ Sana Qureshi,Lucas Evans ↔ Sara Ahmed,Lucas Evans ↔ Sophie Dubois,Lucas Evans ↔ Svetlana Ivanova,Lucas Evans ↔ Thiago Pereira,Lucas Evans ↔ Viktor Novak,Lucas Evans ↔ Yara Mansour,Lucas Evans ↔ Zara Ali","Aisha Abdi ↔ Lucas Evans,Aisha Bello ↔ Lucas Evans,Ava Thompson ↔ Lucas Evans,Carlos Ramirez ↔ Lucas Evans,Emily Clark ↔ Lucas Evans,Fatoumata Diallo ↔ Lucas Evans,Hannah Müller ↔ Lucas Evans,Ivan Petrov ↔ Lucas Evans,Kwame Boateng ↔ Lucas Evans,Laila Rahman ↔ Lucas Evans,Leila Haddad ↔ Lucas Evans",,,,"Lucas Evans ↔ Mikhail Orlov,Aisha Bello ↔ Lucas Evans","Lucas Evans ↔ Elena Popova ↔ Mustafa Demir,Lucas Evans ↔ David Kim ↔ Hiroshi Sato,Lucas Evans ↔ Grace Lee ↔ Isabella Rossi",
Lucas Martin,lucas.martin@email.com,lucas.martin,,,,Massachusetts Institute of Technology (MIT),Marine Biology,"Field research, data analysis",Marine biologist,,8 miles,Hybrid,"Degree,Struggling Concepts,Meet-up Distance",2,90,20,3,100,22,0,0,0,3,100,22,1,70,16,2,90,20,2,90,20,,,450,,,,,,,,
Lucas Martins,lucas.martins@email.com,lucas.martins,,,,Florida International University,Engineering,"Hands-on projects, group work",Mechanical engineer,Fluid mechanics,10 miles,Hybrid,"University,Degree,Struggling Concepts",3,100,19,1,70,13,3,100,19,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,,,,,,"Lucas Martins ↔ Emily Brown ↔ Samantha Evans,Lucas Martins ↔ Emily Brown ↔ Hana Kimura,Lucas Martins ↔ Emily Brown ↔ Sofia Petrova",
Lucas Meyer,lucas.meyer@email.com,lucas.meyer,,,,"University of California, Berkeley",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Lucas Meyer ↔ Maria Rodriguez,Lucas Meyer ↔ Mateo Silva,Lucas Meyer ↔ Mei Chen,Lucas Meyer ↔ Nadia Benali,Lucas Meyer ↔ Olivia Wilson,Lucas Meyer ↔ Omar Farouk,Lucas Meyer ↔ Pedro Alvarez,Lucas Meyer ↔ Samantha Evans,Lucas Meyer ↔ Samuel Mensah,Lucas Meyer ↔ Sibel Yilmaz,Lucas Meyer ↔ Sofia Garcia,Lucas Meyer ↔ Sofia Petrova,Lucas Meyer ↔ Tariq Aziz,Lucas Meyer ↔ Tomasz Nowak,Lucas Meyer ↔ Victoria Smith,Lucas Meyer ↔ Wei Zhang,Lucas Meyer ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Lucas Meyer,Ahmed El-Sayed ↔ Lucas Meyer,Ahmed Hassan ↔ Lucas Meyer,Alexei Ivanov ↔ Lucas Meyer,Anna Müller ↔ Lucas Meyer,Aya Nakamura ↔ Lucas Meyer,Dariusz Kowalski ↔ Lucas Meyer,Diego Torres ↔ Lucas Meyer,Emily Brown ↔ Lucas Meyer,Ethan Johnson ↔ Lucas Meyer,Fatima Al-Farsi ↔ Lucas Meyer,Hana Kimura ↔ Lucas Meyer,Helena Costa ↔ Lucas Meyer,Ivan Horvat ↔ Lucas Meyer,Jacob Green ↔ Lucas Meyer,Kevin Nguyen ↔ Lucas Meyer,Leah Stein ↔ Lucas Meyer,Liam O'Connor ↔ Lucas Meyer,Lina Svensson ↔ Lucas Meyer,Linh Tran ↔ Lucas Meyer",,,,"Ethan Johnson ↔ Lucas Meyer,Lucas Meyer ↔ Wei Zhang,Aya Nakamura ↔ Lucas Meyer,Lucas Meyer ↔ Omar Farouk,Lucas Meyer ↔ Mateo Silva,Emily Brown ↔ Lucas Meyer","Lucas Meyer ↔ Ava Williams ↔ Hana Kimura,Lucas Meyer ↔ Emily Brown ↔ Santiago Lopez,Lucas Meyer ↔ Ava Williams ↔ Kevin Nguyen",
Lucas Oliveira,lucas.oliveira@email.com,lucas.oliveira,,,,University of Texas at Austin,Engineering,"Hands-on projects, group work",Mechanical engineer,Fluid mechanics,10 miles,In Person,"University,Degree,Struggling Concepts,Meet-up Mode",3,100,19,1,70,13,3,100,19,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,Ahmed El-Sayed ↔ Lucas Oliveira,,,,,"Lucas Oliveira ↔ Aaliyah Mohammed ↔ Ahmed El-Sayed,Lucas Oliveira ↔ Ahmed El-Sayed ↔ Samuel Mensah,Lucas Oliveira ↔ Ahmed El-Sayed ↔ Anna Müller",
Lucas Rossi,lucas.rossi@email.com,lucas.rossi,,,,"University of California, Los Angeles",Engineering,"Peer tutoring, collaborative",Start a tech company,,5 miles,Hybrid,"University,Career Trajectories,Meet-up Distance,Meet-up Mode",3,100,19,1,70,13,2,90,17,1,70,13,3,100,19,2,90,17,2,90,17,,,520,,,,,,,,
Lucas Weber,lucas.weber@email.com,lucas.weber,,,,Georgia Institute of Technology,International Relations,"Model UN, policy debates",Diplomat,Struggles with negotiation,12 miles,In Person,"Degree,Meet-up Distance",3,100,20,3,100,20,1,70,14,1,70,14,2,90,18,1,70,14,1,70,14,Reading/Writing,,500,,,,,,,,
Maja Fuchs,maja.fuchs@email.com,maja.fuchs,,,,Carnegie Mellon University,Biology,"Lab research, field studies",Geneticist,Struggles with genetics,11 miles,Online,"Degree,Learning Habits,Struggling Concepts",3,100,22,2,90,20,2,90,20,3,100,22,1,70,16,0,0,0,0,0,0,2,,450,,,,,,,,
Mara Günther,mara.guenther@email.com,mara.guenther,,,,"University of California, Berkeley",Economics,"Data analysis, market simulations",Financial analyst,Struggles with statistics,8 miles,In Person,"Degree,Meet-up Distance,Meet-up Mode",3,100,24,2,90,21,1,70,17,1,70,17,2,90,21,0,0,0,0,0,0,3,,420,,,,,,,,
Maria Fernandez,maria.fernandez@email.com,maria.fernandez,,,,California Institute of Technology (Caltech),Literature,"Book clubs, essay writing",Literary critic,Spanish poetry,7 miles,In Person,"Degree,Learning Habits,Struggling Concepts",3,100,18,2,90,16,3,100,18,2,90,16,2,90,16,2,90,16,2,90,16,Reading/Writing,,560,,,,,,,,
Maria Garcia,maria.garcia@email.com,maria.garcia,,,,University of Texas at Austin,Literature,"Book clubs, essay writing",Literary critic,Spanish poetry,7 miles,Hybrid,"Degree,Learning Habits,Struggling Concepts",3,100,18,2,90,16,3,100,18,2,90,16,2,90,16,2,90,16,2,90,16,Reading/Writing,,560,,,,,,,,
Maria Lopez,maria.lopez@email.com,maria.lopez,,,,Georgia Institute of Technology,Mechanical Engineering,"Likes solo study, visual learner",Design sustainable vehicles,,8 miles,Online,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,3,100,19,3,100,19,1,70,13,2,90,17,1,70,13,1,70,13,,,520,"Maria Lopez ↔ Sina Krüger,Maria Lopez ↔ Tobias Hahn",,,,,Maria Lopez ↔ Tobias Hahn,,
Maria Rodriguez,maria.rodriguez@email.com,maria.rodriguez,,,,Stanford University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Maria Rodriguez ↔ Mateo Silva,Maria Rodriguez ↔ Mateusz Zielinski,Maria Rodriguez ↔ Mei Chen,Maria Rodriguez ↔ Nadia Benali,Maria Rodriguez ↔ Olivia Wilson,Maria Rodriguez ↔ Omar Farouk,Maria Rodriguez ↔ Pedro Alvarez,Maria Rodriguez ↔ Samantha Evans,Maria Rodriguez ↔ Samuel Mensah,Maria Rodriguez ↔ Santiago Lopez,Maria Rodriguez ↔ Sibel Yilmaz,Maria Rodriguez ↔ Sofia Garcia,Maria Rodriguez ↔ Sofia Petrova,Maria Rodriguez ↔ Tariq Aziz,Maria Rodriguez ↔ Tomasz Nowak,Maria Rodriguez ↔ Victoria Smith,Maria Rodriguez ↔ Wei Zhang,Maria Rodriguez ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Maria Rodriguez,Ahmed El-Sayed ↔ Maria Rodriguez,Ahmed Hassan ↔ Maria Rodriguez,Alexei Ivanov ↔ Maria Rodriguez,Anna Müller ↔ Maria Rodriguez,Ava Williams ↔ Maria Rodriguez,Aya Nakamura ↔ Maria Rodriguez,Dariusz Kowalski ↔ Maria Rodriguez,Diego Torres ↔ Maria Rodriguez,Emily Brown ↔ Maria Rodriguez,Ethan Johnson ↔ Maria Rodriguez,Fatima Al-Farsi ↔ Maria Rodriguez,Hana Kimura ↔ Maria Rodriguez,Helena Costa ↔ Maria Rodriguez,Ivan Horvat ↔ Maria Rodriguez,Jacob Green ↔ Maria Rodriguez,Kevin Nguyen ↔ Maria Rodriguez,Leah Stein ↔ Maria Rodriguez,Liam O'Connor ↔ Maria Rodriguez,Lina Svensson ↔ Maria Rodriguez,Linh Tran ↔ Maria Rodriguez,Lucas Meyer ↔ Maria Rodriguez",,,,"Maria Rodriguez ↔ Victoria Smith,Maria Rodriguez ↔ Tariq Aziz,Aaliyah Mohammed ↔ Maria Rodriguez,Maria Rodriguez ↔ Mei Chen,Maria Rodriguez ↔ Sofia Petrova,Ahmed Hassan ↔ Maria Rodriguez","Maria Rodriguez ↔ Mei Chen ↔ Nadia Benali,Maria Rodriguez ↔ Kevin Nguyen ↔ Mei Chen,Maria Rodriguez ↔ Ahmed El-Sayed ↔ Mei Chen",
Mariam Habib,mariam.habib@email.com,mariam.habib,,,,"University of California, Berkeley",Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Mariam Habib ↔ Maya Cohen,Mariam Habib ↔ Maya Sharma,Mariam Habib ↔ Mikhail Orlov,Mariam Habib ↔ Mina Hassan,Mariam Habib ↔ Mustafa Demir,Mariam Habib ↔ Noah Weber,Mariam Habib ↔ Oluwaseun Adeyemi,Mariam Habib ↔ Priya Patel,Mariam Habib ↔ Rashid Khan,Mariam Habib ↔ Ravi Kumar,Mariam Habib ↔ Samuel Lee,Mariam Habib ↔ Sana Qureshi,Mariam Habib ↔ Sara Ahmed,Mariam Habib ↔ Sophie Dubois,Mariam Habib ↔ Svetlana Ivanova,Mariam Habib ↔ Thiago Pereira,Mariam Habib ↔ Viktor Novak,Mariam Habib ↔ Zara Ali","Ananya Singh ↔ Mariam Habib,Chinonso Okafor ↔ Mariam Habib,Elena Popova ↔ Mariam Habib,Grace Lee ↔ Mariam Habib,Hiroshi Sato ↔ Mariam Habib,Ivan Petrov ↔ Mariam Habib,Kwame Boateng ↔ Mariam Habib,Laila Rahman ↔ Mariam Habib,Leila Haddad ↔ Mariam Habib,Lucas Evans ↔ Mariam Habib",,,,"Ava Thompson ↔ Mariam Habib,Mariam Habib ↔ Yara Mansour,Isabella Rossi ↔ Mariam Habib","Mariam Habib ↔ Ivan Petrov ↔ Maya Sharma,Mariam Habib ↔ Emily Clark ↔ Mikhail Orlov,Mariam Habib ↔ Maya Sharma ↔ Samuel Lee",
Marie Busch,marie.busch@email.com,marie.busch,,,,Carnegie Mellon University,Music,"Ensemble practice, composition",Composer,Struggles with music theory,10 miles,In Person,"Learning Habits,Career Trajectories,Meet-up Mode",1,70,15,3,100,22,2,90,20,3,100,22,3,100,22,0,0,0,0,0,0,1,,460,,,,,,,,
Marlene Paul,marlene.paul@email.com,marlene.paul,,,,University of Illinois Urbana–Champaign,Political Science,"Debate, essay writing",Law school,Struggles with constitutional law,4 miles,Online,"University,Degree,Learning Habits,Meet-up Mode",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,1,,540,,John Smith ↔ Marlene Paul,,,,,,
Marta Kowalczyk,marta.kowalczyk@email.com,marta.kowalczyk,Notes not provided,,,Purdue University,Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Marta Kowalczyk ↔ Mohammed Hassan,Marta Kowalczyk ↔ Nia Williams,Marta Kowalczyk ↔ Nour El-Din,Marta Kowalczyk ↔ Oscar Lindberg,Marta Kowalczyk ↔ Sienna Murphy,Marta Kowalczyk ↔ Yusuf Ali","Amina Yusuf ↔ Marta Kowalczyk,Andres Gomez ↔ Marta Kowalczyk,Arjun Desai ↔ Marta Kowalczyk,Benjamin Cohen ↔ Marta Kowalczyk,Gabriel Souza ↔ Marta Kowalczyk,Jamal Carter ↔ Marta Kowalczyk,Jin Park ↔ Marta Kowalczyk,Juan Martinez ↔ Marta Kowalczyk,Julia Nowak ↔ Marta Kowalczyk",,None,None,"Amina Yusuf ↔ Marta Kowalczyk,Marta Kowalczyk ↔ Nour El-Din","Marta Kowalczyk ↔ Gabriel Souza ↔ Mohamed Abdallah,Marta Kowalczyk ↔ Jin Park ↔ Mohamed Abdallah,Marta Kowalczyk ↔ Amina Yusuf ↔ Julia Nowak",
Mason Baker,mason.baker@email.com,mason.baker,,,,"University of California, Berkeley",Psychology,"Case studies, group therapy",Counselor,,10 miles,Online,"University,Degree,Meet-up Distance,Meet-up Mode",2,90,20,3,100,22,0,0,0,1,70,16,2,90,20,3,100,22,3,100,22,,,450,,,,,,,,
Mateo González,mateo.gonzalez@email.com,mateo.gonzalez,,,,University of Texas at Austin,Architecture,"Sketching, site visits",Urban planner,Urban design,8 miles,Online,"University,Degree,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,,Diego Rivera ↔ Mateo González,,,,,,
